"","Location","Pr_Fall","Pr_Spring","Pr_Summer","Pr_Winter","Tmin_Fall","Tmin_Spring","Tmin_Summer","Tmin_Winter","Tmax_Fall","Tmax_Spring","Tmax_Summer","Tmax_Winter","GDD_Fall","GDD_Spring","GDD_Summer","GDD_Winter"
"1","AZ",1293.387227,962.907253,1298.067204,2722.949704,60.3990533468132,56.742600712967,78.693088189011,43.4296247250549,90.3339226841758,89.2868182887912,109.09464664967,71.3506930657143,36.3664880154945,34.0147095008791,54.8938674193407,18.3901588953846
"2","CAa",1071.872881,1702.041586,176.815204,3596.166308,51.8480427437363,50.0251705215385,64.1284473885714,40.7383242615385,80.8777941107692,79.3212349676923,99.4334475127473,60.4304908676923,27.3629184272527,25.6732027446154,42.7809474506593,11.5844075646154
"3","CAb",717.755774,469.944813,330.264911,1268.084181,62.5413239725275,58.4823873714286,78.2877445907692,45.7560776949451,92.4416016061539,89.8137757452747,109.49103157011,74.282003901978,38.4914627893407,35.1480815583516,54.8893880804396,21.0190407984615
"4","CAc",2619.063717,2964.325743,188.079836,7505.524396,51.2505010182418,48.904969492967,56.0488677167033,43.9497579087912,72.658303130989,69.2624915415385,74.7876625887912,64.2830042665934,22.9544020746154,20.0837305172527,26.4182651527473,15.1163810876923
"5","CAd",3801.064799,3682.38201,651.067665,9886.62985,51.8498443057143,50.2842885325275,60.6927463367033,42.3160879169231,79.2434662472527,77.0334276312088,96.7782661874725,59.2518890415385,26.5466552764835,24.6588580818681,39.7355062620879,11.7839884792308
"6","CO",1453.585208,1129.612419,1929.277394,667.888714,28.8690016848352,29.2504919956044,47.5902985208791,8.09220633912088,64.1045425940659,62.6277921931868,83.1776835542857,38.8610412859341,7.48677213945055,6.9391420943956,26.3839910375824,-15.5233761874725
"7","FLa",9095.060049,7018.418467,17451.341228,4683.495948,68.204151201978,61.9649644723077,73.4805523821978,53.7555195378022,88.7222123441758,88.1056036485714,94.3658861804396,78.7951046817582,39.4631817730769,36.0352840604396,44.9232192813187,27.2753121097802
"8","FLb",8848.510563,6652.501657,17077.018482,5798.18175,67.2792307821978,62.6825591896703,74.6122320298901,52.4214153371429,87.5326779391209,86.7059424951648,94.594398263956,75.7763574951648,38.4059543606593,35.6942508424176,45.6033151469231,25.0988864161538
"9","FLc",10565.744203,6827.628707,13438.044715,7973.044968,65.2837153004396,59.6026251661538,73.8824552646154,47.9975843705495,83.8969657136264,82.571391378022,93.4786915775824,69.6186725969231,35.590340507033,32.0870082720879,44.6805734210989,19.8081284837363
"10","GA",7967.121831,9204.440074,12623.478488,12950.24169,59.8469612824176,56.2022733331868,73.0704448986813,41.8746456654945,84.0401946951648,82.7095627162637,95.0924726646154,66.4338303516484,32.9435779887912,30.4559180247253,45.0814587816484,15.1542380085714
"11","IDa",2311.450011,2423.211328,1357.027901,2139.414604,35.1314974063736,36.0137642567033,51.4293209474725,20.8677666852747,62.8242892663736,61.560602629011,87.0135328571429,36.1585732782418,9.97789333637363,9.78718344285714,30.2214269023077,-10.4868300182418
"12","IDb",2107.113715,2786.624136,942.266837,2953.502586,40.7075222731868,40.9207174881319,57.2383732947253,29.0204422736264,66.7999257832967,67.2310786235165,90.2422539384615,43.2385808501099,14.7537240282418,15.0758980558242,34.7403136165934,-2.87048843813187
"13","IDc",2243.297542,2487.997206,955.842517,2446.472759,36.2859991241758,36.3249186859341,52.4770066894505,23.4055320668132,64.8948660015385,63.3696985894506,87.9215175826374,39.4012475131868,11.5904325628571,10.8473086376923,31.199262136044,-7.59661021
"14","ME",8954.829517,6516.439802,9274.489933,6793.225225,36.9771747424176,29.4403987235165,53.9480041156044,9.3455065367033,55.435532603956,50.2809726859341,77.4125646846154,27.5890190896703,7.20635367318681,0.860685704725275,26.6802844001099,-20.5327371868132
"15","MIa",7770.99036,6509.899531,7030.167541,4450.101662,41.5156451468132,35.2318379323077,57.9646769646154,22.3792535540659,61.9122473448352,57.700236198022,83.5194080395604,35.3618151120879,12.7139462458242,7.46603706516484,31.7420425020879,-10.1294656669231
"16","MIb",9233.810805,7990.750066,9228.745149,5380.6863,44.1572591092308,38.9921854940659,60.9351213364835,24.9868505085714,64.9979910681319,61.2407129705495,85.6729302852747,38.0323196698901,15.5776250886813,11.1164492323077,34.3040258108791,-7.49041491076923
"17","MNa",5529.307179,6941.937156,8221.968935,2184.22831,41.916264710989,38.6368830074725,62.3807391595604,16.2547219307692,60.4996957353846,58.6116217037363,84.4704124446154,30.5938701991209,12.2079802231868,9.6242523556044,34.4255758020879,-15.5757039350549
"18","MNb",6160.019262,7622.337658,8956.442797,2543.458391,40.6760953920879,38.3254290773626,61.5993070347253,16.4871273483516,60.8036647650549,58.0973203320879,84.2660879369231,30.1185722085714,11.7398800785714,9.21137470472527,33.9326974858242,-15.6971502215385
"19","MNc",5337.295826,7289.283616,7405.599943,1754.581799,36.2785651314286,34.4465889292308,58.1756820443956,9.98522279824176,55.7654853127473,55.7519954112088,81.6850663848352,26.0183008643956,7.02202522208791,6.09929217021978,30.9303742146154,-20.9982381686813
"20","MNd",5089.338938,6420.680265,7953.039975,1748.56125,39.7732159518681,37.6336174215385,61.5576047065934,14.6569534538462,60.0244659549451,58.4202531608791,85.0232517912088,29.3112522292308,10.8988409534066,9.02693529120879,34.2904282489011,-17.0158971584615
"21","ND",3381.704086,5167.367403,6937.557766,1388.083195,35.6916249101099,35.4490977378022,58.9480573762637,8.8976541556044,56.065347227033,57.2221632589011,84.8774299643956,23.227708369011,6.87848606857143,7.33563049835165,32.9127436703297,-22.9373187376923
"22","NY",8381.411239,5888.14629,7630.772661,5678.020016,45.4157978738462,38.0045360461538,61.5032093514286,25.9368893474725,63.8836751903297,58.9563358914286,84.589831818022,38.7689736767033,15.6497365320879,9.48043596879121,34.0465205847253,-6.64706848791209
"23","ORa",10831.308486,8983.387993,4401.917207,17431.182111,45.577135458022,43.4222076378022,57.3265358356044,38.2554184235165,65.8702380971429,64.0150164991209,83.3108920142857,51.9443309685714,16.7236867775824,14.7186120684615,31.3187139249451,6.09987469604396
"24","ORb",2294.714992,4185.146365,1380.306915,3249.678229,43.3134991004396,44.2096889151648,58.680975532967,33.373946870989,66.8847627259341,68.5007796107692,88.9299596995604,47.3991268043956,16.0991309131868,17.355234262967,34.8054676162637,1.38653683769231
"25","TX",5769.306038,3135.743729,4227.734298,2396.593901,67.1245523138462,59.8541488887912,72.420784996044,53.8228188041758,89.1732626474725,83.909219476044,98.8354680246154,76.7403244182418,39.1489074806593,32.8816841824176,46.6281265103297,26.2815716112088
"26","WAa",1942.018359,2099.264755,2187.132402,2753.335946,43.5718919956044,52.1427225410989,66.0636005283516,33.1520267863736,66.1157812591209,77.238859283956,94.5141672397802,46.7511004281319,15.8438366273626,25.6907909125275,41.2888838840659,0.951563607252747
"27","WAb",1908.648125,1660.417758,960.950134,2743.997545,39.9840756846154,42.485095103956,59.0585398116484,30.0049739679121,64.0946186501099,69.3529219538461,91.7103209303297,43.0507915452747,13.0393471673626,16.9190085289011,36.384430370989,-2.47211724340659
"28","WAc",7383.145381,3918.85405,2197.782616,9365.89599,46.1382007558242,44.0692093564835,57.4492910837363,40.3597082520879,62.1034146846154,66.0753764046154,84.6443286338462,51.6328640567033,15.1208077202198,16.0722928805495,32.0468098587912,6.9962861543956
"29","WAd",2312.380778,3762.82181,1984.093613,3233.214308,44.4222556123077,45.5360037305495,59.1854438164835,34.4460833230769,66.5603827848352,67.1149477195604,85.5801891041758,47.2661049325275,16.4913191985714,17.3254757250549,33.3828164603297,1.8560941278022
"30","WIa",6742.675917,4100.552094,4281.47058,2643.761634,42.1777582314286,42.5549549507692,63.051044598022,21.5270225164835,61.3699875898901,66.0150542540659,90.8103197164835,34.0651663017582,12.7738729106593,15.2850046024176,37.9306821572527,-11.2039055908791
"31","WIb",6938.36948,6536.354008,7209.394997,2268.207505,37.8339286057143,38.6122252294506,61.6864516821978,15.3615220604396,56.9776841520879,59.6601171542857,86.2209138641758,29.9065710984615,8.4058063789011,10.1361711918681,34.9536827731868,-16.3659534205494
"32","WIc",6727.695531,6535.198203,7297.966646,2591.093427,39.6693928538462,37.0748428116484,60.9413934885714,18.2313272778022,59.6331584501099,59.1275034885714,85.3951526652747,32.3295976828571,10.651275651978,9.10117315010989,34.1682730769231,-13.7195375196703
